"individual","DOB"
1,7784
2,7891
3,7931
4,7889
5,7882
6,7864
7,7726
8,7878
9,7882
10,7904
11,7851
12,7895
13,7789
14,7852
15,7892
16,7862
17,7929
18,7864
19,7896
20,7831
21,7872
22,7847
23,7728
24,7866
25,7771
26,7810
27,7883
28,7843
29,7853
30,7915
31,7746
32,7923
33,7807
34,7911
35,7796
36,7757
37,7788
38,7869
39,7868
40,7847
41,7903
42,7876
43,7888
44,7839
45,7808
46,7844
47,7856
48,7889
49,7926
50,7751
51,7892
52,7886
53,7935
54,7855
55,7778
56,7815
57,7810
58,7803
59,7822
60,7887
61,7958
62,7899
63,7866
64,7871
65,7812
66,7831
67,7851
68,7785
69,7936
70,7861
71,7896
72,7907
73,7851
74,7832
75,7778
76,7856
77,7856
78,7810
79,7825
80,7823
81,7912
82,7860
83,7827
84,7816
85,7892
86,7822
87,7859
88,7876
89,7800
90,7777
91,7823
92,7881
93,7851
94,7923
95,7858
96,7747
97,7799
98,7851
99,7776
100,7854
101,7825
102,7817
103,7805
104,7836
105,7910
106,7782
107,7844
108,7905
109,7866
110,7826
111,7834
112,7886
113,7821
114,7868
115,7762
116,7911
117,7818
118,7699
119,7860
120,7891
121,7847
122,7787
123,7877
124,7898
125,7883
126,7897
127,7788
128,7811
129,7736
130,7838
131,7764
132,7928
133,7781
134,7866
135,7817
136,7838
137,7874
138,7852
139,7787
140,7861
141,7913
142,7891
143,7756
144,7878
145,7895
146,7855
147,7729
148,7814
149,7823
150,7864
151,7788
152,7800
153,7849
154,7856
155,7871
156,7824
157,7823
158,7774
159,7827
160,7816
161,7854
162,7855
163,7771
164,7850
165,7892
166,7780
167,7855
168,7952
169,7959
170,7862
171,7767
172,7861
173,7855
174,7795
175,7822
176,7855
177,7855
178,7958
179,7891
180,7803
181,7943
182,7854
183,7904
184,7754
185,7843
186,7853
187,7819
188,7876
189,7846
190,7838
191,7727
192,7827
193,7869
194,7864
195,7831
196,7861
197,7906
198,7874
199,7923
200,7786
201,7918
202,7816
203,7747
204,7875
205,7797
206,7873
207,7823
208,7860
209,7875
210,7815
211,7849
212,7848
213,7852
214,7825
215,7702
216,7782
217,7767
218,7898
219,7966
220,7808
221,7875
222,7865
223,7902
224,7872
225,7895
226,7860
227,7832
228,7951
229,7888
230,7839
231,7856
232,7925
233,7839
234,7830
235,7796
236,7825
237,7823
238,7840
239,7838
240,7900
241,7886
242,7916
243,7840
244,7815
245,7825
246,7850
247,7775
248,7873
249,7834
250,7934
251,7825
252,7763
253,7702
254,7933
255,7718
256,7868
257,7874
258,7806
259,7784
260,7772
261,7774
262,7850
263,7797
264,7796
265,7826
266,7928
267,7806
268,7859
269,7854
270,7871
271,7916
272,7719
273,7788
274,7824
275,7838
276,7779
277,7885
278,7805
279,7812
280,7754
281,7858
282,7796
283,7711
284,7848
285,7822
286,7796
287,7825
288,7799
289,7848
290,7830
291,7852
292,7908
293,7876
294,7823
295,7868
296,7864
297,7808
298,7735
299,7899
300,7791
301,7874
302,7753
303,7834
304,7884
305,7851
306,7792
307,7795
308,7764
309,7870
310,7828
311,7852
312,7889
313,7844
314,7712
315,7865
316,7904
317,7893
318,7791
319,7883
320,7886
321,7895
322,7712
323,7888
324,7798
325,7800
326,7879
327,7740
328,7778
329,7755
330,7940
331,7808
332,7789
333,7886
334,7757
335,7912
336,7831
337,7857
338,7897
339,7853
340,7759
341,7872
342,7783
343,7878
344,7783
345,7955
346,7870
347,7864
348,7859
349,7774
350,7861
351,7924
352,7846
353,7936
354,7844
355,7818
356,7897
357,7831
358,7933
359,7875
360,7918
361,7752
362,7891
363,7946
364,7786
365,7840
366,7898
367,7909
368,7820
369,7748
370,7862
371,7888
372,7827
373,7748
374,7728
375,7826
376,7836
377,7852
378,7851
379,7903
380,7812
381,7895
382,7931
383,7797
384,7937
385,7877
386,7867
387,7875
388,7810
389,7869
390,7857
391,7878
392,7965
393,7822
394,7854
395,7898
396,7879
397,7831
398,7834
399,7960
400,7889
401,7864
402,7725
403,7852
404,7845
405,7843
406,7858
407,7818
408,7879
409,7878
410,7814
411,7851
412,7917
413,7855
414,7770
415,7875
416,7818
417,7872
418,7788
419,7821
420,7848
421,7834
422,7851
423,7807
424,7880
425,7845
426,7836
427,7858
428,7869
429,7862
430,7904
431,7801
432,7815
433,7851
434,7798
435,7856
436,7892
437,7897
438,7759
439,7793
440,7827
441,7772
442,7863
443,7870
444,7876
445,7766
446,7835
447,7883
448,7850
449,7852
450,7868
451,7834
452,7855
453,7821
454,7850
455,7853
456,7930
457,7942
458,7886
459,7879
460,7845
461,7760
462,7838
463,7852
464,7857
465,7960
466,7755
467,7870
468,7887
469,7893
470,7860
471,7898
472,7818
473,7916
474,7871
475,7816
476,7803
477,7819
478,7801
479,7796
480,7880
481,7893
482,7875
483,7866
484,7816
485,7903
486,7765
487,7763
488,7715
489,7851
490,7868
491,7884
492,7848
493,7797
494,7854
495,7836
496,7940
497,7744
498,7844
499,7735
500,7883
501,7828
502,7920
503,7819
504,7791
505,7761
506,7861
507,7752
508,7878
509,7778
510,7865
511,7813
512,7789
513,7800
514,7896
515,7757
516,7747
517,7875
518,7887
519,7880
520,7945
521,7763
522,7917
523,7796
524,7878
525,7830
526,7851
527,7896
528,7837
529,7829
530,7873
531,7830
532,7763
533,7780
534,7906
535,7834
536,7925
537,7829
538,7842
539,7887
540,7924
541,7777
542,7836
543,7799
544,7823
545,7825
546,7733
547,7835
548,7873
549,7839
550,7903
551,7759
552,7879
553,7856
554,7799
555,7821
556,7823
557,7874
558,7836
559,7820
560,7757
561,7890
562,7789
563,7784
564,7803
565,7788
566,7896
567,7862
568,7888
569,7784
570,7856
571,7889
572,7947
573,7882
574,7896
575,7863
576,7870
577,7755
578,7741
579,7799
580,7893
581,7947
582,7827
583,7855
584,7814
585,7900
586,7957
587,7881
588,7835
589,7884
590,8035
591,7943
592,7821
593,7895
594,7871
595,7850
596,7827
597,7791
598,7804
599,7826
600,7828
601,7825
602,7903
603,7863
604,7848
605,7795
606,7959
607,7803
608,7850
609,7794
610,8033
611,7914
612,7841
613,7855
614,7890
615,7798
616,7918
617,7828
618,7752
619,7816
620,7826
621,7922
622,7939
623,7891
624,7868
625,7858
626,7873
627,7743
628,7737
629,7839
630,7796
631,7892
632,7788
633,7801
634,7737
635,7851
636,7772
637,7830
638,7782
639,7892
640,7895
641,7872
642,7844
643,7905
644,7816
645,7809
646,8019
647,7823
648,7903
649,7788
650,7893
651,7866
652,7751
653,7896
654,8006
655,7832
656,7813
657,7863
658,7851
659,7754
660,7876
661,7852
662,7831
663,7978
664,7957
665,7884
666,7956
667,7818
668,7816
669,7822
670,7776
671,7956
672,7824
673,7866
674,7997
675,7864
676,7918
677,8002
678,7865
679,7809
680,7945
681,7872
682,7872
683,7822
684,7864
685,7858
686,7770
687,7821
688,7874
689,7858
690,7886
691,7838
692,7850
693,7831
694,7875
695,7848
696,7836
697,7863
698,7853
699,7829
700,7771
701,7787
702,7789
703,7954
704,7973
705,7856
706,7883
707,7819
708,7765
709,7822
710,7833
711,7966
712,7963
713,7805
714,7866
715,7796
716,7822
717,7769
718,7924
719,7823
720,7841
721,7894
722,7889
723,7825
724,7816
725,7751
726,7965
727,7797
728,7866
729,7925
730,7764
731,7844
732,7804
733,7839
734,8004
735,7884
736,7971
737,7759
738,7796
739,7990
740,7965
741,7920
742,7902
743,7820
744,7789
745,7871
746,7760
747,7763
748,8000
749,7911
750,7800
751,8010
752,7820
753,7843
754,7955
755,7909
756,7779
757,7740
758,7877
759,7865
760,7854
761,7955
762,7846
763,7823
764,7871
765,7783
766,7755
767,7773
768,7912
769,7671
770,8011
771,7876
772,7932
773,7783
774,7735
775,7833
776,7955
777,7879
778,7889
779,7891
780,7816
781,7880
782,7927
783,7860
784,7886
785,7864
786,7867
787,7831
788,7898
789,7828
790,7944
791,7850
792,7847
793,7874
794,7881
795,8017
796,7850
797,7841
798,7878
799,7872
800,7816
801,7976
802,7820
803,7834
804,7838
805,7852
806,7868
807,8019
808,7814
809,7815
810,7821
811,7918
812,7804
