"individual","DOB"
1,1968
2,1975
3,1975
4,1947
5,1968
6,1958
7,1964
8,1966
9,1958
10,1962
11,1945
12,1973
13,1953
14,1956
15,1963
16,1950
17,1961
18,1954
19,1949
20,1957
21,1964
22,1948
23,1974
24,1969
25,1969
26,1941
27,1972
28,1966
29,1946
30,1954
31,1957
32,1942
33,1953
34,1970
35,1958
36,1956
37,1960
38,1951
39,1954
40,1968
41,1968
42,1975
43,1971
44,1944
45,1963
46,1951
47,1952
48,1971
49,1959
50,1974
51,1956
52,1959
53,1953
54,1941
55,1947
56,1957
57,1969
58,1968
59,1972
60,1969
61,1961
62,1952
63,1970
64,1953
65,1947
66,1954
67,1962
68,1969
69,1971
70,1968
71,1966
72,1968
73,1970
74,1970
75,1948
76,1941
77,1945
78,1961
79,1951
80,1964
81,1944
82,1966
83,1964
84,1953
85,1974
86,1958
87,1961
88,1972
89,1973
90,1948
91,1965
92,1943
93,1962
94,1957
95,1955
96,1972
97,1954
98,1953
99,1970
100,1966
101,1947
102,1970
103,1947
104,1972
105,1960
106,1950
107,1967
108,1968
109,1960
110,1943
111,1960
112,1944
113,1959
114,1959
115,1960
116,1968
117,1952
118,1973
119,1943
120,1967
121,1958
122,1943
123,1959
124,1968
125,1947
126,1943
127,1952
128,1975
129,1968
130,1966
131,1962
132,1948
133,1968
134,1968
135,1970
136,1964
137,1958
138,1944
139,1963
140,1953
141,1960
142,1956
143,1956
144,1973
145,1949
146,1970
147,1961
148,1952
149,1967
150,1970
151,1964
152,1951
153,1973
154,1971
155,1945
156,1975
157,1952
158,1949
159,1971
160,1955
161,1956
162,1963
163,1949
164,1949
165,1966
166,1946
167,1970
168,1942
169,1958
170,1944
171,1951
172,1972
173,1968
174,1944
175,1966
176,1962
177,1974
178,1967
179,1959
180,1968
181,1957
182,1960
183,1965
184,1956
185,1975
186,1944
187,1970
188,1956
189,1965
190,1975
191,1941
192,1952
193,1941
194,1954
195,1945
196,1956
197,1975
198,1949
199,1946
200,1959
201,1955
202,1955
203,1965
204,1974
205,1943
206,1963
207,1946
208,1956
209,1941
210,1951
211,1953
212,1958
213,1952
214,1973
215,1947
216,1952
217,1974
218,1946
219,1972
220,1962
221,1950
222,1962
223,1966
224,1949
225,1942
226,1955
227,1945
228,1947
229,1965
230,1949
231,1947
232,1968
233,1964
234,1948
235,1968
236,1961
237,1965
238,1949
239,1973
240,1949
241,1949
242,1968
243,1953
244,1959
245,1966
246,1960
247,1973
248,1943
249,1951
250,1941
251,1964
252,1969
253,1952
254,1953
255,1951
256,1941
257,1970
258,1967
259,1968
260,1947
261,1948
262,1942
263,1945
264,1953
265,1973
266,1961
267,1948
268,1954
269,1951
270,1969
271,1963
272,1975
273,1969
274,1973
275,1943
276,1955
277,1963
278,1948
279,1950
280,1945
281,1941
282,1947
283,1949
284,1972
285,1941
286,1953
287,1947
288,1960
289,1950
290,1955
291,1958
292,1950
293,1957
294,1958
295,1948
296,1945
297,1961
298,1954
299,1955
300,1968
301,1953
302,1959
303,1963
304,1959
305,1958
306,1960
307,1945
308,1948
309,1952
310,1959
311,1948
312,1947
313,1972
314,1941
315,1947
316,1971
317,1942
318,1966
319,1966
320,1961
321,1945
322,1942
323,1949
324,1960
325,1959
326,1942
327,1969
328,1951
329,1944
330,1952
331,1970
332,1945
333,1963
334,1960
335,1968
336,1963
337,1972
338,1947
339,1967
340,1941
341,1958
342,1958
343,1961
344,1970
345,1955
346,1964
347,1968
348,1960
349,1963
350,1952
351,1948
352,1958
353,1951
354,1947
355,1958
356,1962
357,1942
358,1962
359,1941
360,1954
361,1967
362,1966
363,1956
364,1972
365,1967
366,1966
367,1972
368,1948
369,1957
370,1958
371,1941
372,1955
373,1941
374,1948
375,1957
376,1964
377,1944
378,1975
379,1961
380,1946
381,1942
382,1942
383,1962
384,1965
385,1945
386,1969
387,1969
388,1973
389,1972
390,1956
391,1943
392,1953
393,1961
394,1949
395,1962
396,1946
397,1952
398,1944
399,1958
400,1948
401,1941
402,1969
403,1953
404,1958
405,1959
406,1955
407,1953
408,1973
409,1954
410,1969
411,1958
412,1971
413,1943
414,1973
415,1969
416,1949
417,1959
418,1955
419,1971
420,1956
421,1969
422,1968
423,1943
424,1943
425,1943
426,1952
427,1943
428,1946
429,1966
430,1951
431,1962
432,1960
433,1950
434,1957
435,1957
436,1970
437,1963
438,1975
439,1970
440,1959
441,1974
442,1953
443,1962
444,1943
445,1955
446,1967
447,1946
448,1966
449,1945
450,1941
451,1941
452,1967
453,1957
454,1944
455,1943
456,1966
457,1975
458,1941
459,1962
460,1966
461,1955
462,1954
463,1946
464,1960
465,1962
466,1958
467,1948
468,1968
469,1955
470,1957
471,1963
472,1945
473,1961
474,1961
475,1975
476,1960
477,1955
478,1973
479,1963
480,1953
481,1945
482,1949
483,1957
484,1955
485,1945
486,1968
487,1944
488,1957
489,1950
490,1973
491,1942
492,1967
493,1969
494,1963
495,1972
496,1956
497,1967
498,1944
499,1942
500,1969
