"individual","DOB"
1,1959
2,1946
3,1961
4,1965
5,1975
6,1951
7,1948
8,1963
9,1947
10,1972
11,1955
12,1945
13,1946
14,1946
15,1945
16,1974
17,1961
18,1959
19,1962
20,1954
21,1965
22,1961
23,1942
24,1961
25,1957
26,1961
27,1957
28,1954
29,1973
30,1964
31,1941
32,1967
33,1969
34,1956
35,1947
36,1946
37,1945
38,1945
39,1969
40,1974
41,1967
42,1947
43,1962
44,1954
45,1944
46,1945
47,1973
48,1955
49,1965
50,1968
51,1967
52,1947
53,1954
54,1955
55,1951
56,1967
57,1963
58,1945
59,1960
60,1963
61,1972
62,1968
63,1966
64,1975
65,1971
66,1944
67,1960
68,1945
69,1943
70,1953
71,1964
72,1947
73,1954
74,1949
75,1955
76,1966
77,1943
78,1944
79,1947
80,1957
81,1941
82,1970
83,1965
84,1956
85,1957
86,1945
87,1943
88,1962
89,1955
90,1966
91,1971
92,1966
93,1969
94,1972
95,1968
96,1948
97,1969
98,1967
99,1975
100,1965
101,1956
102,1964
103,1950
104,1969
105,1957
106,1962
107,1974
108,1946
109,1944
110,1960
111,1952
112,1964
113,1953
114,1971
115,1958
116,1953
117,1968
118,1941
119,1945
120,1962
121,1955
122,1944
123,1949
124,1950
125,1960
126,1949
127,1968
128,1955
129,1947
130,1955
131,1963
132,1954
133,1972
134,1971
135,1955
136,1963
137,1970
138,1959
139,1975
140,1970
141,1963
142,1954
143,1946
144,1941
145,1967
146,1968
147,1973
148,1967
149,1952
150,1954
151,1961
152,1943
153,1949
154,1957
155,1975
156,1957
157,1945
158,1954
159,1961
160,1967
161,1950
162,1945
163,1965
164,1949
165,1956
166,1961
167,1944
168,1954
169,1956
170,1955
171,1950
172,1962
173,1962
174,1973
175,1954
176,1947
177,1955
178,1958
179,1970
180,1970
181,1968
182,1964
183,1963
184,1966
185,1957
186,1952
187,1959
188,1944
189,1951
190,1967
191,1953
192,1944
193,1959
194,1969
195,1951
196,1971
197,1959
198,1943
199,1960
200,1971
201,1955
202,1948
203,1960
204,1954
205,1962
206,1965
207,1974
208,1946
209,1943
210,1963
211,1951
212,1955
213,1954
214,1944
215,1956
216,1965
217,1973
218,1941
219,1949
220,1969
221,1961
222,1947
223,1964
224,1942
225,1953
226,1946
227,1968
228,1966
229,1961
230,1965
231,1966
232,1944
233,1951
234,1953
235,1963
236,1974
237,1961
238,1953
239,1951
240,1952
241,1970
242,1945
243,1964
244,1952
245,1945
246,1961
247,1970
248,1970
249,1945
250,1947
