"individual","DOB"
1,1971
2,1962
3,1965
4,1944
5,1946
6,1950
7,1947
8,1968
9,1964
10,1967
11,1960
12,1972
13,1943
14,1946
15,1972
16,1968
17,1960
18,1970
19,1961
20,1973
21,1965
22,1949
23,1962
24,1966
25,1943
26,1967
27,1971
28,1975
29,1950
30,1958
31,1969
32,1963
33,1957
34,1947
35,1946
36,1962
37,1944
38,1946
39,1952
40,1949
41,1954
42,1947
43,1958
44,1949
45,1971
46,1956
47,1943
48,1966
49,1971
50,1967
51,1956
52,1942
53,1967
54,1950
55,1951
56,1964
57,1971
58,1957
59,1952
60,1964
61,1967
62,1951
63,1941
64,1964
65,1945
66,1961
67,1966
68,1943
69,1966
70,1949
71,1961
72,1943
73,1948
74,1948
75,1950
76,1952
77,1970
78,1951
79,1958
80,1953
81,1961
82,1959
83,1969
84,1943
85,1962
86,1968
87,1952
88,1965
89,1959
90,1943
91,1968
92,1947
93,1948
94,1946
95,1951
96,1945
97,1956
98,1962
99,1942
100,1966
101,1958
102,1972
103,1958
104,1958
105,1961
106,1969
107,1971
108,1958
109,1957
110,1970
111,1942
112,1944
113,1952
114,1974
115,1972
116,1958
117,1953
118,1951
119,1952
120,1945
121,1953
122,1949
123,1941
124,1946
125,1967
126,1974
127,1964
128,1941
129,1950
130,1965
131,1951
132,1955
133,1947
134,1967
135,1962
136,1944
137,1958
138,1950
139,1969
140,1975
141,1943
142,1945
143,1946
144,1947
145,1959
146,1973
147,1947
148,1972
149,1947
150,1961
151,1950
152,1958
153,1956
154,1969
155,1972
156,1970
157,1945
158,1954
159,1956
160,1949
161,1950
162,1951
163,1968
164,1952
165,1950
166,1942
167,1958
168,1947
169,1956
170,1947
171,1955
172,1974
173,1964
174,1960
175,1945
176,1943
177,1946
178,1967
179,1964
180,1965
181,1966
182,1973
183,1958
184,1960
185,1968
186,1962
187,1946
188,1961
189,1955
190,1948
191,1948
192,1963
193,1973
194,1962
195,1944
196,1961
197,1958
198,1952
199,1950
200,1958
201,1956
202,1961
203,1966
204,1967
205,1946
206,1971
207,1971
208,1952
209,1957
210,1958
211,1971
212,1961
213,1963
214,1950
215,1957
216,1942
217,1975
218,1952
219,1962
220,1957
221,1964
222,1954
223,1950
224,1973
225,1965
226,1970
227,1970
228,1948
229,1958
230,1946
231,1957
232,1954
233,1951
234,1966
235,1966
236,1957
237,1942
238,1966
239,1942
240,1946
241,1945
242,1947
243,1962
244,1968
245,1961
246,1953
247,1957
248,1960
249,1952
250,1951
251,1958
252,1968
253,1951
254,1965
255,1964
256,1951
257,1962
258,1975
259,1968
260,1955
261,1945
262,1958
263,1950
264,1945
265,1952
266,1941
267,1970
268,1944
269,1974
270,1953
271,1966
272,1960
273,1950
274,1947
275,1967
276,1952
277,1953
278,1945
279,1964
280,1944
281,1961
282,1959
283,1959
284,1965
285,1975
286,1964
287,1950
288,1963
289,1951
290,1972
291,1948
292,1972
293,1969
294,1956
295,1967
296,1949
297,1954
298,1964
299,1954
300,1971
301,1943
302,1961
303,1965
304,1974
305,1942
306,1957
307,1962
308,1972
309,1948
310,1973
311,1952
312,1952
313,1961
314,1941
315,1942
316,1974
317,1949
318,1964
319,1960
320,1965
321,1964
322,1969
323,1947
324,1942
325,1957
326,1953
327,1967
328,1967
329,1948
330,1974
331,1954
332,1973
333,1945
334,1971
335,1954
336,1971
337,1973
338,1948
339,1972
340,1962
341,1965
342,1969
343,1960
344,1971
345,1943
346,1950
347,1950
348,1948
349,1951
350,1957
351,1970
352,1958
353,1947
354,1949
355,1955
356,1969
357,1971
358,1972
359,1941
360,1958
361,1965
362,1964
363,1960
364,1944
365,1975
366,1965
367,1946
368,1969
369,1948
370,1970
371,1969
372,1970
373,1950
374,1964
375,1973
376,1970
377,1953
378,1964
379,1953
380,1949
381,1962
382,1973
383,1962
384,1941
385,1957
386,1974
387,1951
388,1942
389,1971
390,1951
391,1941
392,1969
393,1958
394,1973
395,1943
396,1964
397,1962
398,1943
399,1945
400,1941
401,1967
402,1950
403,1945
404,1955
405,1953
406,1948
407,1950
408,1944
409,1951
410,1970
411,1972
412,1964
413,1970
414,1957
415,1945
416,1954
417,1957
418,1957
419,1958
420,1955
421,1958
422,1944
423,1944
424,1971
425,1949
426,1965
427,1964
428,1947
429,1966
430,1966
431,1970
432,1964
433,1964
434,1959
435,1947
436,1945
437,1952
438,1970
439,1955
440,1948
441,1945
442,1955
443,1972
444,1968
445,1958
446,1959
447,1953
448,1950
449,1965
450,1975
451,1951
452,1959
453,1966
454,1945
455,1969
456,1960
457,1941
458,1955
459,1954
460,1958
461,1973
462,1951
463,1952
464,1971
465,1953
466,1943
467,1960
468,1963
469,1950
470,1952
471,1952
472,1962
473,1958
474,1958
475,1952
476,1967
477,1950
478,1975
479,1963
480,1964
481,1967
482,1946
483,1974
484,1941
485,1952
486,1967
487,1950
488,1955
489,1972
490,1968
491,1942
492,1975
493,1959
494,1969
495,1942
496,1953
497,1949
498,1966
499,1942
500,1968
