"individual","DOB"
1,1943
2,1965
3,1963
4,1999
5,1987
6,1966
7,1944
8,1963
9,1949
10,1947
11,2003
12,1943
13,1977
14,1976
15,2005
16,2009
17,1943
18,2010
19,1956
20,2010
21,1944
22,2010
23,1964
24,1963
25,1983
26,1963
27,1964
28,1960
29,2013
30,2010
31,2006
32,2005
33,1969
34,2005
35,1986
36,1959
37,1998
38,2011
39,1950
40,1991
41,2011
42,1997
43,1966
44,1962
45,1981
46,1947
47,1952
48,1953
49,1959
50,1987
51,1950
52,1950
53,1985
54,1970
55,2011
56,1996
57,1972
58,1960
59,1999
60,1953
61,1962
62,1945
63,1963
64,1984
65,1960
66,1948
67,1948
68,2012
69,1986
70,2010
71,1964
72,1968
73,1943
74,1987
75,2009
76,1965
77,1958
78,1958
79,1995
80,1952
81,2011
82,1949
83,1989
84,2012
85,1956
86,1946
87,1972
88,1965
89,1982
90,2008
91,2011
92,1998
93,1984
94,1980
95,1988
96,1941
97,1982
98,1971
99,1981
100,1949
101,2002
102,1969
103,1987
104,1992
105,1993
106,1969
107,1976
108,2007
109,1949
110,1980
111,1971
112,2001
113,1962
114,1977
115,1973
116,1980
117,1968
118,1958
119,1989
120,1995
121,1974
122,1981
123,1958
124,2007
125,1988
