"individual","DOB"
1,1972
2,1989
3,1997
4,1962
5,1967
6,1970
7,2003
8,1977
9,1967
10,1956
11,2001
12,1963
13,1992
14,1954
15,2011
16,2010
17,1959
18,1967
19,1951
20,2012
21,2003
22,1978
23,2005
24,1997
25,1979
26,2007
27,1984
28,1960
29,1988
30,2003
31,1962
32,1966
33,1967
34,1989
35,2012
36,1966
37,1995
38,2006
39,1984
40,1979
41,1952
42,1984
43,1949
44,2010
45,1971
46,1958
47,1963
48,1996
49,1966
50,2013
51,1950
52,1998
53,1952
54,1962
55,1990
56,1963
57,1945
58,1947
59,1969
60,2009
61,2003
62,1967
63,1995
64,1975
65,1950
66,2004
67,1969
68,1968
69,1997
70,2007
71,1981
72,1956
73,1991
74,1944
75,1965
76,1993
77,1994
78,1995
79,1946
80,1988
81,1948
82,1985
83,1977
84,1977
85,1959
86,1994
87,1989
88,1952
89,1966
90,1986
91,1983
92,1954
93,1967
94,1984
95,1993
96,1995
97,1963
98,2010
99,1997
100,1942
101,1977
102,1943
103,1996
104,1947
105,1951
106,1983
107,1959
108,1968
109,1941
110,1979
111,1955
112,1977
113,1948
114,2004
115,1989
116,1962
117,1987
118,1954
119,1982
120,1951
121,2002
122,1954
123,1983
124,1943
125,1948
126,1971
127,1998
128,1994
129,2013
130,1964
131,2003
132,1974
133,2007
134,1988
135,1996
136,1996
137,2006
138,1969
139,1944
140,1964
141,1951
142,2007
143,1976
144,1960
145,1944
146,1974
147,1970
148,1976
149,2007
150,1965
151,1944
152,1962
153,2010
154,1968
155,2004
156,1952
157,1986
158,1955
159,1998
160,1975
161,1979
162,1990
163,1945
164,2007
165,1947
166,1988
167,1948
168,2010
169,1981
170,1973
171,1943
172,1979
173,2011
174,1963
175,1942
176,1946
177,2010
178,1946
179,1952
180,1958
181,1958
182,1966
183,1981
184,2012
185,1991
186,1953
187,1997
188,1982
189,1997
190,1984
191,1997
192,2000
193,1991
194,2001
195,1951
196,1964
197,2002
198,1969
199,1949
200,1989
201,1955
202,1960
203,1964
204,2005
205,1972
206,1956
207,1954
208,1979
209,1981
210,1948
211,1995
212,1974
213,1981
214,1979
215,1992
216,1979
217,2000
218,1946
219,1986
220,1947
221,1977
222,1941
223,1997
224,1978
225,1985
226,1955
227,1960
228,1989
229,1945
230,1953
231,2007
232,1956
233,1975
234,1997
235,1957
236,1998
237,2005
238,1961
239,1970
240,1962
241,2008
242,1982
243,2007
244,1949
245,1957
246,1941
247,1961
248,1995
249,1989
250,2003
251,1951
252,1963
253,1974
254,1974
255,1971
256,1996
257,1973
258,2001
259,1972
260,1959
261,2013
262,1962
263,1945
264,1971
265,1949
266,2010
267,1958
268,1972
269,1949
270,1993
271,1965
272,1987
273,1964
274,1949
275,1996
276,1998
277,1987
278,1951
279,1965
280,2006
281,1985
282,1992
283,1943
284,1953
285,1983
286,1952
287,1981
288,1993
289,1980
290,1958
291,1993
292,1983
293,1952
294,1969
295,1959
296,1977
297,1985
298,1942
299,1964
300,1957
301,1943
302,1964
303,1993
304,1972
305,1942
306,2004
307,1973
308,1998
309,1988
310,2005
311,1985
312,1945
313,2011
314,1965
315,1944
316,2002
317,1983
318,1972
319,2010
320,1963
321,1965
322,1992
323,1977
324,1997
325,2006
326,1996
327,2013
328,1983
329,1990
330,1946
331,1983
332,1997
333,1970
334,2009
335,1956
336,1991
337,2008
338,1960
339,1995
340,2002
341,2005
342,1981
343,2010
344,1989
345,1987
346,2012
347,1974
348,1983
349,1981
350,1958
351,1948
352,1943
353,2008
354,1949
355,1988
356,1990
357,1952
358,1950
359,1942
360,2009
361,2004
362,1994
363,2013
364,1946
365,1983
366,2001
367,1991
368,1958
369,1998
370,1983
371,1947
372,1947
373,1989
374,1968
375,1975
376,1956
377,1966
378,1942
379,1996
380,1996
381,1975
382,2003
383,1952
384,1971
385,1968
386,1974
387,1944
388,1959
389,2012
390,1945
391,2010
392,1994
393,2004
394,2012
395,1983
396,1979
397,1957
398,2000
399,2002
400,1943
401,1958
402,1989
403,1969
404,1964
405,2000
406,2006
407,1992
408,1956
409,2005
410,2011
411,1970
412,2006
413,1945
414,2011
415,1967
416,1944
417,1948
418,1981
419,1969
420,2009
421,1968
422,1985
423,2002
424,1949
425,1950
426,1961
427,1942
428,1971
429,1986
430,1969
431,1997
432,1963
433,1978
434,1945
435,2006
436,2013
437,1968
438,1988
439,1944
440,2000
441,2003
442,2001
443,1973
444,1971
445,1959
446,1943
447,1945
448,2005
449,1971
450,1983
451,1986
452,2009
453,1969
454,1990
455,2013
456,1977
457,1962
458,1942
459,2011
460,1961
461,1986
462,1988
463,1964
464,1966
465,1978
466,1990
467,1950
468,1965
469,1961
470,1985
471,2005
472,1989
473,1960
474,1988
475,1961
476,1988
477,1979
478,1976
479,1955
480,1961
481,1944
482,1966
483,2008
484,1941
485,1959
486,1947
487,1944
488,1969
489,1990
490,1998
491,1943
492,1986
493,1972
494,1982
495,1988
496,1941
497,2008
498,1946
499,2010
500,2007
