"individual","DOB"
1,1941
2,1963
3,1990
4,1955
5,1995
6,2002
7,1947
8,1952
9,1966
10,1985
11,2010
12,1942
13,1960
14,2000
15,1942
16,2002
17,1980
18,1982
19,1942
20,1971
21,1953
22,1963
23,1978
24,1956
25,2003
26,1971
27,1989
28,1960
29,1967
30,1948
31,1964
32,1951
33,1997
34,1966
35,1976
36,1954
37,1941
38,1979
39,1952
40,1991
41,2013
42,1979
43,1978
44,1976
45,2004
46,1982
47,1969
48,1983
49,1979
50,1981
51,1995
52,1956
53,1987
54,1944
55,1985
56,2002
57,1959
58,1944
59,1954
60,1975
61,1960
62,1986
63,1988
64,2010
65,1968
66,1993
67,1957
68,1982
69,1969
70,1956
71,2005
72,2007
73,1959
74,1976
75,1997
76,1951
77,2002
78,1965
79,2013
80,1942
81,1970
82,1950
83,1994
84,2013
85,1953
86,1971
87,1998
88,1991
89,1999
90,1999
91,1977
92,1960
93,2006
94,1958
95,1964
96,1995
97,1951
98,1976
99,1977
100,1989
101,1943
102,2003
103,1990
104,1994
105,1971
106,1942
107,1966
108,1987
109,1987
110,1969
111,1967
112,2004
113,1973
114,1943
115,2008
116,1984
117,1993
118,1950
119,1945
120,1961
121,1954
122,1991
123,2008
124,1989
125,1966
126,1942
127,1992
128,1976
129,1970
130,1951
131,1957
132,1947
133,2003
134,2005
135,1958
136,1995
137,1961
138,1941
139,1966
140,1952
141,1998
142,1983
143,1952
144,1977
145,1941
146,1959
147,1941
148,1949
149,1981
150,1958
151,2002
152,2006
153,1998
154,1959
155,1990
156,1969
157,1967
158,1947
159,1978
160,2001
161,1947
162,1949
163,2011
164,1995
165,1982
166,1954
167,1954
168,2009
169,1995
170,1983
171,1958
172,1963
173,1953
174,1964
175,2005
176,2002
177,2008
178,1953
179,1999
180,1974
181,2004
182,1961
183,1966
184,1945
185,2013
186,1963
187,1960
188,1999
189,1954
190,1977
191,1964
192,1998
193,1972
194,2006
195,2007
196,1951
197,2013
198,1947
199,1988
200,1989
201,1989
202,1943
203,1976
204,2009
205,1963
206,1971
207,1986
208,1944
209,1976
210,1956
211,1946
212,1947
213,1988
214,1989
215,1957
216,2004
217,1982
218,1973
219,2007
220,2001
221,1973
222,2008
223,1967
224,1963
225,1954
226,1971
227,2012
228,1961
229,1968
230,1983
231,1958
232,1941
233,1961
234,1959
235,1980
236,1994
237,1973
238,1978
239,2011
240,1946
241,1979
242,1977
243,2001
244,1957
245,1980
246,1944
247,2008
248,1968
249,1963
250,2006
251,1993
252,2009
253,1985
254,1986
255,1946
256,1956
257,2004
258,2004
259,1963
260,1960
261,1989
262,2011
263,1947
264,2001
265,1944
266,1988
267,1975
268,1985
269,2005
270,1982
271,1953
272,2009
273,1965
274,1972
275,1962
276,1996
277,1991
278,2007
279,1963
280,1980
281,2007
282,1960
283,1965
284,1979
285,1944
286,1994
287,1969
288,2012
289,1968
290,1988
291,1986
292,1980
293,1968
294,1954
295,2012
296,2010
297,1950
298,1976
299,1962
300,1972
301,1953
302,1969
303,1954
304,1961
305,1974
306,1942
307,1953
308,1964
309,1981
310,1965
311,1955
312,1991
313,1956
314,1953
315,1983
316,1985
317,1980
318,1951
319,2010
320,1990
321,1942
322,2003
323,2005
324,1957
325,1981
326,1964
327,1970
328,2007
329,1961
330,1994
331,1978
332,1944
333,1965
334,2005
335,1999
336,2013
337,1987
338,2000
339,1983
340,1947
341,1941
342,1995
343,1982
344,1949
345,1950
346,1967
347,1953
348,2003
349,1943
350,1992
351,1972
352,1969
353,1982
354,1997
355,2011
356,1982
357,2000
358,1978
359,1957
360,1963
361,1997
362,2012
363,1997
364,1977
365,1961
366,1966
367,2007
368,2011
369,1985
370,1996
371,1952
372,2010
373,1950
374,1987
375,1961
376,1986
377,1990
378,1949
379,1969
380,1962
381,1964
382,1981
383,1989
384,1975
385,1991
386,1958
387,1966
388,1974
389,2012
390,1960
391,1949
392,1962
393,1985
394,1983
395,1981
396,1983
397,1969
398,2006
399,1992
400,1942
401,1957
402,1967
403,1975
404,2002
405,1941
406,1944
407,1955
408,1957
409,1965
410,1957
411,1951
412,1982
413,1975
414,2006
415,1951
416,1979
417,1952
418,1964
419,1942
420,2004
421,1970
422,1979
423,1998
424,1985
425,1987
426,1955
427,1948
428,1963
429,2012
430,1947
431,2003
432,2011
433,1955
434,2005
435,1964
436,1989
437,2006
438,1999
439,1974
440,1948
441,1974
442,1999
443,1952
444,2006
445,1982
446,1963
447,1974
448,2008
449,1992
450,1993
451,1955
452,1977
453,1945
454,1982
455,2008
456,1951
457,1969
458,1972
459,2000
460,1961
461,1959
462,1954
463,1973
464,1985
465,1941
466,1973
467,1958
468,2002
469,1942
470,1990
471,1941
472,2004
473,1948
474,1964
475,1962
476,1973
477,1992
478,1957
479,1958
480,1981
481,1941
482,1941
483,1945
484,1950
485,2008
486,2002
487,1976
488,2006
489,1962
490,1999
491,1965
492,1942
493,1959
494,1974
495,2007
496,2007
497,1972
498,1966
499,1954
500,1998
